arxiu	hash	classet	classe	classer	text_orig	text
bcn_cat_tweet_20211021_203425.csv	8322723a13e516aeb6b9a358f757de02ad8c105ae0aa0f4fd21129b87a42130e	5 Urbanisme	5	2	RT @aitooru: @bcn_ajuntament Villaroel amb Gran Via:ABANS: Aparcaments a la calçada.ARA: blocs de formigó a la calçada (no hi ha cap terr…	rt   villaroel amb gran viaabans aparcaments a la calçadaara blocs de formigó a la calçada no hi ha cap terr…
bcn_cat_tweet_20211021_203425.csv	dd4677846d72141cced6f34ae1f02a3403968c01eba79f0e4c91c0a193d916d8	5 Urbanisme	5	2	RT @Dr_diez: @bcn_ajuntament Deixar ela carrers pagats de formigó, comprat a algun amic, també és deixar-ho tot a lloc, oi?Àneu a cagar,…	rt   deixar ela carrers pagats de formigó comprat a algun amic també és deixarho tot a lloc oiàneu a cagar…
bcn_cat_tweet_20211021_203425.csv	86c491271d5d456f27fe375b0cc0ce9323eb8085cd5d6c23c492f9406ba2eb1d	2 Politica	2	1	@bcn_ajuntament Heu destrossat Barcelona! Costarà anys reconstruir-la de nou. Anys i calers!! Sou un frau na Colau!	heu destrossat barcelona costarà anys reconstruirla de nou anys i calers sou un frau na colau
bcn_cat_tweet_20211021_203425.csv	61a17072a12a1d64813327df9a2b1a0e6f609b8e8b446a91f590f5088655f20a	3 Serveis Municipals	3	2	RT @AntoniaGiro: @bcn_ajuntament Si treballes en precari i mal pagat en una empresa, subcontratada a la baixa per l'Ajuntament de Barcelona…	rt   si treballes en precari i mal pagat en una empresa subcontratada a la baixa per lajuntament de barcelona…
bcn_cat_tweet_20211021_203425.csv	a6943dc1c60ba6699cb6c2b9eed8931ddd10737a6e6c24df93fc5172b781db84	8 OAC	8	3	@bcn_ajuntament , bona tarde, si us plau em pregunta ma germana que està empadronada a Bcn inque té un cotxe que va matricular a Càceres que qué té que fer per poder tenir la zona verda. Gràcies	bona tarde si us plau em pregunta ma germana que està empadronada a bcn inque té un cotxe que va matricular a càceres que qué té que fer per poder tenir la zona verda gràcies
bcn_cat_tweet_20211021_203425.csv	48c1cddf26765a5d8862e7fb142f941129f6650ab6ce24166091712f8619a9c1	9 Mobilitat	9	2	@bcn_ajuntament Això no és un pati de parvulari. És Barcelona. Poseu vigilants a la gent de bici i patinets, sense casc ni assegurança, en contra direcció i deixeu-vos de tonteries infantils. Ho es que encara no heu madurat ??. Aquest pas no hi arribeu 😤😤😤😤😤	això no és un pati de parvulari és barcelona poseu vigilants a la gent de bici i patinets sense casc ni assegurança en contra direcció i deixeuvos de tonteries infantils ho es que encara no heu madurat  aquest pas no hi arribeu
bcn_cat_tweet_20211021_203425.csv	0349e13c1f7a0005999a6d80ebde9037c75254ce3343981f6a71dffc7bdd5568	10 Comerç i Indústria	10	2	RT @ERCbcn: @bcn_ajuntament 🔌 L'escalada de preus de l'energia afecta també la competitivitat de les PIMEs.✅ Aprovada la proposta d'@ERCb…	rt     lescalada de preus de lenergia afecta també la competitivitat de les pimes  aprovada la proposta d
bcn_cat_tweet_20211021_203425.csv	ff5c9e5520cb224b81ae3172cb7399e4977c3eb3d75495f74e6ec35f01f9175e	11 Seguretat Ciutadana	11	3	@bcn_ajuntamentNo consta cap activitat ilegal...Lògic perquè per ells tot acte criminal a Barcelona està permès. No veu delincuancia a BCN la @AdaColau🤬🤬Incendi en un local de la Barceloneta on es carregaven bateries de bicitaxis il·legalment https://t.co/PPDEzIJjiZ	consta cap activitat ilegallògic perquè per ells tot acte criminal a barcelona està permès no veu delincuancia a bcn la  incendi en un local de la barceloneta on es carregaven bateries de bicitaxis il·legalment httpstcoppdezijjiz
bcn_cat_tweet_20211021_203425.csv	c455874bba0cffdc770910eb0f584ce28b9f5ee276ebbc45ee6f8a3adce6da6d	2 Politica	2	1	@bcn_ajuntament @gastronomicfbcn A pesar de la Colauuu	a pesar de la colauuu
bcn_cat_tweet_20211021_203425.csv	601ed3f8e1d0493eceae4b6206075002881dd937fff178d9398af25312943c2d	11 Seguretat Ciutadana	11	3	@bcn_ajuntament ideal per fer botellots davant la disco, i tocar els collons als pocs veïns que hi viuen	ideal per fer botellots davant la disco i tocar els collons als pocs veïns que hi viuen
